"id","distance","time","a_id","b_id"
"1","0","0","671","671"
"2","5028","317","669","671"
"3","1749","384","680","595"
"4","8976","582","670","678"
"5","14267","794","669","676"
"6","7886","415","681","676"
"7","3478","196","670","684"
"8","3217","450","736","681"
"9","12535","741","670","673"
"10","4382","257","684","745"
"11","12135","530","684","676"
"12","1531","233","680","684"
"13","0","0","681","681"
"14","6836","877","680","681"
"15","12343","1122","745","686"
"16","4755","602","669","595"
"17","3799","196","681","673"
"18","7996","983","681","678"
"19","0","0","680","680"
"20","7132","637","680","671"
"21","0","0","670","670"
"22","6760","502","736","673"
"23","7289","646","736","672"
"24","7925","478","745","678"
"25","4315","337","669","682"
"26","1204","106","684","680"
"27","2846","409","684","595"
"28","5270","545","670","595"
"29","3818","259","669","680"
"30","3776","274","670","669"
"31","0","0","684","684"
"32","14765","695","684","685"
"33","3905","352","679","681"
"34","11430","736","681","671"
"35","4356","374","745","681"
"36","4016","369","745","595"
"37","2771","302","669","745"
"38","0","0","669","669"
"39","3788","221","669","670"
"40","9283","614","669","672"
"41","3031","351","670","682"
"42","7001","578","669","681"
"43","7899","426","745","673"
"44","7429","828","595","682"
"45","5455","421","680","678"
"46","3593","230","680","670"
"47","5836","917","681","595"
"48","8992","689","670","681"
"49","11511","792","684","686"
"50","7311","589","684","681"
"51","0","0","745","745"
"52","2666","276","745","669"
"53","11219","679","684","672"
"54","1966","324","679","595"
"55","5686","636","595","681"
"56","0","0","595","595"
"57","5155","721","595","678"
"58","2323","294","679","745"
"59","8718","952","595","673"
"60","10037","542","595","676"
"61","10114","1067","595","686"
"62","5719","500","679","678"
"63","4137","403","679","684"
"64","7977","548","679","672"
"65","12738","642","736","668"
"66","5829","528","736","678"
"67","4482","364","679","669"
"68","4858","506","595","669"
"69","10453","1269","679","686"
"70","14157","1003","671","672"
"71","10414","767","680","686"
"72","2477","128","684","670"
"73","5323","245","682","668"
"74","13935","928","670","686"
"75","3628","242","670","680"
"76","11648","669","681","685"
"77","11986","645","745","676"
"78","12855","647","736","685"
"79","5613","359","745","670"
"80","5014","422","681","672"
"81","4284","368","670","671"
"82","11907","842","745","683"
"83","8811","648","669","678"
"84","17811","915","671","676"
"85","1337","89","682","671"
"86","6656","639","745","682"
"87","3012","575","736","595"
"88","11390","952","595","675"
"89","12177","621","684","674"
"90","3506","377","669","684"
"91","10248","603","684","683"
"92","11145","564","669","674"
"93","5650","307","736","670"
"94","8476","881","595","671"
"95","8119","522","679","671"
"96","0","0","686","686"
"97","21346","1344","668","686"
"98","10498","1020","736","686"
"99","7257","438","685","686"
"100","13770","994","669","686"
"101","4959","346","678","686"
"102","17187","1177","671","686"
"103","0","0","685","685"
"104","5447","509","676","685"
"105","6462","453","686","685"
"106","9495","777","673","685"
"107","12759","991","595","685"
"108","16803","1065","669","685"
"109","17189","831","670","685"
"110","25686","1434","674","685"
"111","14700","749","745","685"
"112","5507","782","686","678"
"113","9386","921","685","678"
"114","0","0","678","678"
"115","6552","446","684","678"
"116","7310","782","676","678"
"117","11181","778","682","678"
"118","12740","1490","667","686"
"119","12814","879","679","685"
"120","9834","819","678","685"
"121","19327","1139","682","685"
"122","13668","670","680","685"
"123","20226","1032","677","685"
"124","11424","622","667","685"
"125","12228","831","671","678"
"126","9334","812","673","678"
"127","7859","780","686","676"
"128","8105","860","678","676"
"129","5029","510","685","676"
"130","8016","743","676","686"
"131","0","0","676","676"
"132","14421","829","685","684"
"133","0","0","677","677"
"134","0","0","674","674"
"135","18987","1092","677","674"
"136","17826","1163","672","674"
"137","4741","651","678","595"
"138","0","0","673","673"
"139","8700","989","673","595"
"140","2955","378","679","680"
"141","3600","229","736","680"
"142","5836","299","678","680"
"143","12149","796","685","595"
"144","16509","927","685","670"
"145","11922","602","673","670"
"146","14680","759","736","674"
"147","13089","956","745","674"
"148","4699","275","673","676"
"149","4626","264","676","673"
"150","9850","1067","678","673"
"151","10212","678","679","676"
"152","2736","154","667","673"
"153","9454","763","685","673"
"154","11038","505","680","676"
"155","10802","857","672","676"
"156","15743","841","677","676"
"157","14758","670","670","677"
"158","11874","620","669","677"
"159","9196","497","667","677"
"160","12237","618","679","677"
"161","15671","1027","676","677"
"162","11491","819","673","677"
"163","20631","1144","685","677"
"164","15875","1123","681","683"
"165","13060","910","680","674"
"166","5134","265","668","674"
"167","7784","426","683","670"
"168","5206","317","679","670"
"169","3922","192","671","670"
"170","8517","531","681","670"
"171","12680","1031","595","683"
"172","7822","503","670","683"
"173","0","0","683","683"
"174","12564","909","679","683"
"175","6161","399","682","683"
"176","9647","633","669","683"
"177","11336","787","680","683"
"178","2875","139","682","670"
"179","4937","474","595","670"
"180","6855","372","675","670"
"181","9985","476","667","670"
"182","9234","434","674","670"
"183","7448","404","679","673"
"184","10544","630","669","673"
"185","10854","641","684","673"
"186","15363","924","685","672"
"187","3928","277","667","672"
"188","9758","832","595","672"
"189","0","0","672","672"
"190","6662","403","673","672"
"191","5932","320","677","672"
"192","7318","521","745","672"
"193","10202","504","736","676"
"194","14559","666","670","676"
"195","7959","439","676","681"
"196","1621","98","675","683"
"197","7481","380","674","683"
"198","6532","424","670","675"
"199","4278","222","668","675"
"200","0","0","675","675"
"201","5909","387","671","683"
"202","20683","1116","677","683"
"203","19209","973","675","677"
"204","6203","641","672","673"
"205","6461","296","678","684"
"206","2984","238","595","684"
"207","8549","394","678","670"
"208","4581","393","736","684"
"209","11994","509","676","684"
"210","6857","550","671","684"
"211","13738","1033","682","673"
"212","4083","271","673","681"
"213","3290","324","681","736"
"214","5115","407","669","736"
"215","2799","507","595","736"
"216","6958","746","681","669"
"217","4969","420","672","681"
"218","0","0","736","736"
"219","2464","211","745","736"
"220","1927","125","667","681"
"221","11242","1034","671","681"
"222","8298","868","678","681"
"223","10067","685","677","681"
"224","11460","679","685","681"
"225","11992","539","677","669"
"226","3418","256","680","669"
"227","3930","329","595","745"
"228","4320","476","681","745"
"229","5803","392","670","745"
"230","2251","251","736","745"
"231","14318","680","680","677"
"232","10158","973","670","674"
"233","7265","362","682","674"
"234","14404","1154","595","674"
"235","14972","793","682","677"
"236","6731","463","672","677"
"237","11172","561","745","677"
"238","17399","1168","678","677"
"239","14306","636","684","677"
"240","11647","558","736","677"
"241","20114","887","668","677"
"242","5023","268","683","668"
"243","4094","214","675","668"
"244","6512","326","675","674"
"245","11722","878","683","745"
"246","5568","301","668","683"
"247","10046","708","680","675"
"248","9868","1193","680","673"
"249","9271","579","668","669"
"250","10122","543","674","669"
"251","5112","412","671","669"
"252","7462","455","745","671"
"253","5888","310","674","671"
"254","11144","625","677","673"
"255","14018","902","595","677"
"256","6406","325","671","674"
"257","14236","769","679","674"
"258","5747","374","683","671"
"259","4619","308","671","675"
"260","19393","1037","677","675"
"261","4735","235","668","671"
"262","16064","800","677","671"
"263","4818","320","675","671"
"264","10617","763","745","675"
"265","11274","830","679","675"
"266","16023","1040","667","675"
"267","8357","554","669","675"
"268","12868","732","667","671"
"269","4871","320","682","675"
"270","4781","247","675","682"
"271","0","0","682","682"
"272","1337","89","671","682"
"273","6249","348","684","671"
"274","6085","584","680","682"
"275","5496","256","668","682"
"276","6649","331","674","682"
"277","7279","676","682","595"
"278","10624","920","681","682"
"279","13008","899","736","683"
"280","21682","1922","686","683"
"281","10728","776","683","684"
"282","10908","1073","680","672"
"283","10067","685","681","677"
"284","11114","808","677","745"
"285","16019","846","671","677"
"286","12640","814","670","672"
"287","17251","1094","674","672"
"288","10842","611","676","672"
"289","7304","862","667","595"
"290","10273","697","686","595"
"291","6556","644","682","745"
"292","11897","830","676","745"
"293","7358","560","672","745"
"294","14301","952","685","745"
"295","7234","562","672","736"
"296","4758","269","667","736"
"297","8839","800","671","736"
"298","8061","721","672","679"
"299","1018","223","679","736"
"300","6032","682","678","736"
"301","0","0","679","679"
"302","1781","284","595","679"
"303","3949","748","680","736"
"304","8003","861","678","745"
"305","3744","275","680","745"
"306","2931","525","680","679"
"307","8916","562","667","684"
"308","21176","2262","677","686"
"309","11298","1569","681","686"
"310","12425","853","686","745"
"311","9596","1032","667","678"
"312","18555","1048","674","677"
"313","1649","337","595","680"
"314","6467","453","681","680"
"315","11823","1349","686","684"
"316","4933","457","745","684"
"317","3977","267","745","680"
"318","12382","744","674","680"
"319","12407","1345","672","678"
"320","17505","1610","677","678"
"321","16387","998","668","678"
"322","7448","617","681","684"
"323","12169","792","674","684"
"324","7070","502","671","680"
"325","9722","476","676","595"
"326","15285","1048","672","685"
"327","12023","911","686","673"
"328","7335","370","667","676"
"329","23897","1623","676","674"
"330","26245","1706","685","674"
"331","12292","658","674","745"
"332","12297","730","672","670"
"333","7313","706","679","682"
"334","5710","301","683","682"
"335","9872","524","673","680"
"336","8330","687","667","669"
"337","8935","575","672","669"
"338","6191","301","674","675"
"339","20392","1843","686","675"
"340","8958","524","684","675"
"341","1224","73","683","675"
"342","14785","1086","671","673"
"343","15029","849","677","684"
"344","13911","1447","686","670"
"345","14082","607","676","670"
"346","3986","300","684","679"
"347","5810","497","682","684"
"348","10195","981","682","681"
"349","4065","359","682","669"
"350","7603","697","671","745"
"351","17290","1160","681","674"
"352","9231","593","683","669"
"353","17990","1115","673","675"
"354","23564","1319","675","685"
"355","18944","1253","668","673"
"356","18904","1267","683","673"
"357","10659","932","673","669"
"358","2649","148","684","669"
"359","4355","474","736","669"
"360","17969","1350","676","671"
"361","13610","790","672","671"
"362","21970","1082","668","676"
"363","14585","1044","681","675"
"364","11323","515","678","682"
"365","8563","512","736","671"
"366","5202","295","684","682"
"367","19280","1194","673","683"
"368","12769","1495","678","672"
"369","20138","1027","683","677"
"370","12129","905","677","736"
"371","4754","496","684","736"
"372","6695","395","673","736"
"373","12177","1121","686","681"
"374","8021","662","673","745"
"375","5692","417","667","745"
"376","13450","822","685","680"
"377","24493","1373","683","685"
"378","11498","1440","673","686"
"379","16018","1959","672","686"
"380","20374","1192","671","685"
"381","22499","1419","674","686"
"382","10626","865","686","679"
"383","6023","449","682","680"
"384","12445","910","683","595"
"385","12485","896","668","595"
"386","8326","729","671","595"
"387","9045","468","678","669"
"388","16764","862","682","676"
"389","21853","1082","676","683"
"390","8081","359","668","670"
"391","16320","869","678","683"
"392","14835","807","673","671"
"393","22990","1323","685","675"
"394","10853","688","673","684"
"395","16554","1276","674","681"
"396","6435","596","670","736"
"397","16659","991","685","669"
"398","12370","568","678","671"
"399","7757","696","736","682"
"400","14029","991","673","682"
"401","14824","704","677","670"
"402","13110","950","682","672"
"403","5667","400","670","679"
"404","15401","1201","668","681"
"405","12330","773","685","736"
"406","7792","747","682","736"
"407","8526","630","671","679"
"408","17540","1073","674","678"
"409","15418","958","675","678"
"410","21930","1096","683","676"
"411","7441","380","683","674"
"412","18229","1106","672","683"
"413","7935","398","667","680"
"414","17975","1213","675","673"
"415","7479","577","682","679"
"416","24280","1402","685","683"
"417","9799","722","675","684"
"418","1246","299","736","679"
"419","4070","641","681","679"
"420","11050","625","683","680"
"421","11716","757","675","679"
"422","14407","1521","686","669"
"423","15351","820","677","682"
"424","19270","1380","685","682"
"425","17313","1119","667","683"
"426","10411","691","672","680"
"427","11762","864","668","745"
"428","14075","774","677","680"
"429","17347","1130","675","672"
"430","11392","855","672","684"
"431","16749","1545","686","672"
"432","18276","1184","683","672"
"433","9982","690","676","736"
"434","14749","905","677","595"
"435","16140","1124","682","686"
"436","23123","1157","674","676"
"437","11023","502","676","680"
"438","18298","841","678","674"
"439","20952","1054","673","674"
"440","20097","1328","674","673"
"441","3291","370","745","679"
"442","10454","674","686","736"
"443","16939","1027","672","675"
"444","20563","1003","676","675"
"445","18662","1101","667","674"
"446","11718","820","736","675"
"447","16922","1297","676","682"
"448","18316","1170","668","672"
"449","11516","856","675","595"
"450","12502","964","685","679"
"451","13838","872","674","679"
"452","24533","1359","668","685"
"453","16347","1012","683","678"
"454","22017","1765","686","677"
"455","15361","1215","683","681"
"456","17732","1621","686","671"
"457","14232","671","676","669"
"458","21040","1751","683","686"
"459","20111","1697","675","686"
"460","10121","571","675","680"
"461","23660","1894","686","674"
"462","14432","1161","675","681"
"463","12897","810","672","682"
"464","7394","875","673","679"
"465","4876","435","669","679"
"466","12998","967","668","736"
"467","12956","1064","677","679"
"468","10154","881","676","679"
"469","11198","1352","686","680"
"470","15030","790","678","675"
"471","5606","748","678","679"
"472","12062","916","667","682"
"473","12645","811","683","679"
"474","9827","997","672","595"
"475","16685","1568","686","682"
"476","5538","586","667","679"
"477","11229","669","668","680"
"478","8302","539","675","669"
"479","12685","797","668","679"
"480","14151","1042","674","736"
"481","10793","824","675","745"
"482","20317","1433","685","671"
"483","13638","971","674","595"
"484","11016","717","668","684"
"485","12958","981","683","736"
"486","12029","927","675","736"
"487","21001","1042","675","676"
"488","0","0","653","653"
"489","7653","625","643","653"
"490","0","0","643","643"
"491","0","0","648","648"
"492","3537","209","642","645"
"493","9236","1214","648","650"
"494","4531","255","648","641"
"495","3550","283","643","648"
"496","221","14","646","645"
"497","5824","516","643","645"
"498","1740","88","645","650"
"499","4639","283","649","642"
"500","2567","195","649","645"
"501","2708","199","649","646"
"502","0","0","649","649"
"503","2708","197","646","649"
"504","1531","108","649","650"
"505","2826","412","642","640"
"506","4490","572","642","649"
"507","0","0","642","642"
"508","5020","390","640","649"
"509","1881","92","646","650"
"510","13545","1062","647","654"
"511","3049","466","644","640"
"512","3832","284","648","643"
"513","4413","345","641","640"
"514","15922","1064","648","652"
"515","5197","287","642","650"
"516","15245","793","649","651"
"517","6221","668","641","649"
"518","8387","478","643","651"
"519","3393","526","643","642"
"520","5649","430","641","645"
"521","2567","193","645","649"
"522","0","0","645","645"
"523","3991","273","647","649"
"524","12213","886","640","653"
"525","4562","288","641","648"
"526","7467","801","643","649"
"527","10063","1319","648","649"
"528","1504","90","647","645"
"529","7576","1136","648","645"
"530","0","0","641","641"
"531","2394","258","644","641"
"532","8925","677","648","653"
"533","1105","93","641","643"
"534","2468","192","640","645"
"535","3164","168","647","650"
"536","5420","341","644","650"
"537","4062","211","640","650"
"538","10458","841","644","653"
"539","5469","425","644","648"
"540","2935","434","644","643"
"541","1523","94","646","647"
"542","17690","1427","643","654"
"543","19138","852","643","655"
"544","12683","855","642","652"
"545","14085","1153","649","653"
"546","14259","1045","645","651"
"547","22888","1208","642","656"
"548","4382","405","640","643"
"549","2613","343","641","642"
"550","7484","594","643","650"
"551","12262","986","646","654"
"552","1691","225","643","641"
"553","15014","1193","653","650"
"554","6836","584","653","651"
"555","7622","487","645","648"
"556","7401","474","646","648"
"557","5400","377","642","648"
"558","4909","646","644","649"
"559","12947","739","640","651"
"560","14921","1248","642","654"
"561","11062","680","642","651"
"562","14039","874","653","649"
"563","10374","513","640","652"
"564","5970","414","647","648"
"565","9830","853","642","653"
"566","4859","517","643","647"
"567","0","0","656","656"
"568","0","0","652","652"
"569","9068","462","650","652"
"570","14502","906","643","652"
"571","13497","985","654","652"
"572","14270","788","641","652"
"573","29462","1564","655","652"
"574","9996","513","646","652"
"575","1951","295","640","647"
"576","21873","1046","657","640"
"577","12906","909","644","652"
"578","19674","1084","656","652"
"579","15168","1655","657","652"
"580","14695","1618","652","657"
"581","22238","1519","653","652"
"582","9908","537","649","652"
"583","3760","263","644","645"
"584","14395","979","651","645"
"585","7122","769","641","650"
"586","8896","454","652","650"
"587","1739","86","650","645"
"588","15581","958","652","648"
"589","13216","926","651","640"
"590","22410","1065","640","656"
"591","7049","499","649","643"
"592","24700","1345","656","643"
"593","5507","391","640","648"
"594","25246","1100","657","648"
"595","0","0","654","654"
"596","27584","2068","648","656"
"597","0","0","655","655"
"598","19018","857","655","643"
"599","30943","1737","656","655"
"600","19377","1038","644","655"
"601","20999","1326","650","655"
"602","0","0","651","651"
"603","24692","2123","655","651"
"604","0","0","650","650"
"605","8947","691","651","648"
"606","14038","1032","646","651"
"607","9037","464","648","651"
"608","7355","1123","648","646"
"609","9170","911","653","648"
"610","21514","973","648","655"
"611","9583","490","649","648"
"612","24387","1695","657","649"
"613","1330","100","650","649"
"614","17777","862","656","649"
"615","15429","1379","651","649"
"616","9924","510","652","646"
"617","9159","519","641","651"
"618","11131","728","644","651"
"619","32896","1639","656","651"
"620","24423","1677","651","655"
"621","0","0","657","657"
"622","24063","1413","644","657"
"623","25192","1098","648","657"
"624","25662","1279","643","657"
"625","33284","1514","651","657"
"626","10552","883","649","654"
"627","10381","894","650","654"
"628","18519","843","649","656"
"629","11377","881","654","656"
"630","15340","1322","644","654"
"631","10901","914","656","654"
"632","16444","1294","641","654"
"633","27455","1683","655","654"
"634","19617","2108","648","654"
"635","22002","1005","655","648"
"636","9281","563","650","648"
"637","2354","135","640","642"
"638","663","136","644","642"
"639","2866","386","642","643"
"640","20379","1311","655","645"
"641","23269","1802","657","650"
"642","3316","196","642","646"
"643","5603","503","643","646"
"644","221","14","645","646"
"645","0","0","646","646"
"646","19700","952","656","646"
"647","4268","520","640","641"
"648","6952","621","651","653"
"649","23021","1306","652","651"
"650","25652","2005","651","654"
"651","33617","2054","657","651"
"652","8635","727","651","643"
"653","7736","614","653","643"
"654","12208","1075","647","653"
"655","8486","632","641","653"
"656","24411","1254","641","656"
"657","20984","2111","655","653"
"658","12942","928","647","651"
"659","31568","1991","656","653"
"660","25427","1292","641","657"
"661","42840","1971","655","657"
"662","3175","296","644","647"
"663","1283","77","647","646"
"664","5956","565","648","642"
"665","5267","266","650","642"
"666","23692","1111","657","642"
"667","3608","190","645","642"
"668","2338","160","640","646"
"669","0","0","647","647"
"670","13430","980","651","647"
"671","4627","399","641","647"
"672","2952","242","642","647"
"673","6513","1074","648","647"
"674","1744","107","645","647"
"675","0","0","644","644"
"676","645","143","642","644"
"677","2730","390","643","644"
"678","2851","258","640","644"
"679","29297","1753","652","655"
"680","9783","506","652","645"
"681","6063","751","645","643"
"682","19758","1432","654","648"
"683","20615","1586","653","655"
"684","18958","964","642","655"
"685","24056","1718","653","654"
"686","15918","1121","650","651"
"687","10477","869","654","650"
"688","17820","862","656","650"
"689","21531","1017","640","657"
"690","9419","751","651","641"
"691","21158","1357","655","650"
"692","10434","869","654","649"
"693","7722","827","650","643"
"694","9874","536","652","649"
"695","13365","1145","646","653"
"696","28243","2000","656","657"
"697","33144","1865","653","657"
"698","25657","1387","643","656"
"699","18348","854","650","656"
"700","12216","955","654","645"
"701","13157","1159","652","654"
"702","27101","1425","656","648"
"703","16055","1057","651","650"
"704","3387","177","646","642"
"705","23961","1852","649","657"
"706","5428","417","641","646"
"707","22290","1129","656","642"
"708","1880","90","650","646"
"709","12537","770","652","642"
"710","10521","847","653","642"
"711","2325","210","642","641"
"712","5301","562","646","641"
"713","5842","738","646","643"
"714","14443","1105","640","654"
"715","19421","1196","652","656"
"716","42406","2013","657","655"
"717","18440","939","641","655"
"718","19075","848","655","641"
"719","8431","635","653","641"
"720","13586","1158","645","653"
"721","29088","1394","657","656"
"722","4231","292","649","647"
"723","22576","1469","645","657"
"724","5293","429","648","644"
"725","11509","963","651","642"
"726","3539","250","644","646"
"727","21409","1601","655","647"
"728","3403","183","650","647"
"729","23180","1203","657","647"
"730","12595","1130","653","647"
"731","6508","323","649","641"
"732","7181","651","650","641"
"733","1698","119","641","644"
"734","9858","711","653","644"
"735","4105","313","645","644"
"736","23840","1359","642","657"
"737","14565","1040","652","643"
"738","10304","512","652","647"
"739","9761","540","645","652"
"740","19234","1181","649","655"
"741","19562","875","655","649"
"742","31823","1875","655","656"
"743","24159","1169","656","641"
"744","12121","982","645","654"
"745","25844","2424","657","654"
"746","13477","1134","653","645"
"747","25553","1646","654","651"
"748","25720","1381","657","643"
"749","14565","1109","650","653"
"750","14174","966","651","646"
"751","23045","1578","657","645"
"752","10092","502","647","652"
"753","5728","353","650","644"
"754","23307","1282","644","656"
"755","33619","1965","651","656"
"756","19495","952","655","642"
"757","16816","1176","654","641"
"758","22832","1815","650","657"
"759","4828","256","649","644"
"760","5522","575","645","641"
"761","14451","1155","652","641"
"762","17357","1352","654","643"
"763","19559","948","656","645"
"764","20337","1315","646","655"
"765","12357","959","654","646"
"766","21223","1045","656","647"
"767","3128","326","647","644"
"768","20339","1568","647","655"
"769","10846","827","651","644"
"770","27705","1998","654","655"
"771","33442","1794","657","653"
"772","24225","1998","654","653"
"773","13256","1121","653","646"
"774","23073","1369","651","652"
"775","14947","1136","654","642"
"776","20088","942","645","656"
"777","25606","1496","657","641"
"778","22287","1453","652","653"
"779","4643","472","647","643"
"780","3884","300","646","644"
"781","4545","588","647","641"
"782","13034","893","652","644"
"783","19684","925","655","644"
"784","15136","1109","654","644"
"785","2631","203","647","642"
"786","24189","1234","657","644"
"787","22915","1546","657","646"
"788","21994","1040","647","657"
"789","22479","1102","656","644"
"790","21512","1022","647","656"
"791","20520","1315","655","646"
"792","20229","946","646","656"
"793","32023","1678","653","656"
"794","13880","1052","654","647"
"795","21068","1037","640","655"
"796","26203","2139","654","657"
"797","22745","1549","646","657"
"798","2731","193","664","658"
"799","767","36","658","659"
"800","0","0","658","658"
"801","3532","171","658","661"
"802","6673","659","658","660"
"803","3424","225","664","659"
"804","5973","386","664","661"
"805","6923","353","664","662"
"806","0","0","664","664"
"807","8506","428","664","665"
"808","4302","407","664","660"
"809","7516","436","664","663"
"810","5047","245","658","662"
"811","2894","234","658","664"
"812","0","0","665","665"
"813","9520","734","663","665"
"814","0","0","663","663"
"815","9879","1022","665","663"
"816","13190","1342","666","663"
"817","11363","634","658","665"
"818","8872","437","665","664"
"819","3915","193","663","660"
"820","0","0","660","660"
"821","4468","365","660","664"
"822","7059","550","665","660"
"823","9825","707","661","660"
"824","4752","231","660","663"
"825","11603","630","665","658"
"826","767","38","659","658"
"827","9037","813","663","658"
"828","9165","784","658","663"
"829","6581","662","660","658"
"830","3587","268","659","664"
"831","2026","128","661","662"
"832","7366","693","659","660"
"833","6256","408","661","664"
