"id","code","latitude","longitude"
"1","EN1 3RZ","51.653536","-0.057535"
"2","RM9 6SJ","51.530606","0.145436"
"3","SE7 7SA","51.488758","0.027368"
"4","E10 5NH","51.555388","-0.008489"
"5","E6 5UP","51.516","0.045355"
"6","E14 3BT","51.494253","-0.013619"
"7","WD24 7RT","51.679479","-0.389936"
"8","E4 8QB","51.608197","-0.032739"
"9","NW7 2ET","51.607507","-0.242031"
"10","WD24 4AD","51.667554","-0.397734"
"11","EN3 4EJ","51.640477","-0.047095"
"12","W6 9TQ","51.491039","-0.239053"
"13","SE11 5RD","51.487198","-0.115776"
"14","NW3 5EY","51.545626","-0.17747"
"15","W14 9DA","51.490582","-0.21418"
"16","NW8 9SQ","51.531925","-0.171933"
"17","W12 8PS","51.503305","-0.222414"
"18","SW20 8LR","51.408413","-0.215701"
"19","SW4 9SH","51.461627","-0.157857"
"20","NW3 4QN","51.551689","-0.170611"
"21","W3 0TE","51.527004","-0.279387"
"22","W3 6PH","51.514705","-0.268551"
"23","W5 4LR","51.501683","-0.28681"
"24","SW17 7AN","51.439837","-0.156072"
"25","SW17 7RH","51.436997","-0.161366"
"26","N16 7XA","51.555667","-0.074229"
"27","SE5 0EG","51.481755","-0.094987"
"28","SE14 5BE","51.477929","-0.053182"
"29","SE15 5LJ","51.474549","-0.075574"
"30","BR1 3AX","51.406646","0.030981"
"31","SE10 9TS","51.484131","0.000964"
"32","SE7 7AL","51.487223","0.02671"
"33","SE13 5PQ","51.458867","0.004868"
"34","TW9 4LL","51.46899","-0.279094"
"35","SE9 4qn","51.437839","0.04307"
"36","E10 6JP","51.571247","-0.008229"
"37","SE2 9SA","51.493353","0.121443"
"38","HA1 3BS","51.577676","-0.342505"
"39","SE20 8AP","51.413818","-0.068778"
"40","N14 5BU","51.633226","-0.131463"
"41","NW4 1DL","51.589367","-0.219793"
"42","NW7 1JX","51.604672","-0.206198"
"43","NW9 8RR","51.565675","-0.264379"
"44","NW9 7EB","51.577441","-0.23993"
"45","N12 0AP","51.602004","-0.174318"
"46","IG10 3SP","51.648247","0.08413"
"47","BR1 4PJ","51.426006","-0.005575"
"48","UB6 8ST","51.534986","-0.346666"
"49","IG2 7RH","51.573894","0.084205"
"50","N17 9JL","51.589348","-0.067911"
"51","RM11 1DP","51.564802","0.204776"
"52","EN3 7NJ","51.659369","-0.029843"
"53","IG1 2PG","51.544345","0.07811"
"54","E16 1QX","51.517006","0.023131"
"55","SE1 4AG","51.494353","-0.091653"
"56","N11 2UU","51.610465","-0.13702"
"57","E17 5JG","51.589461","-0.028207"
"58","RM1 4SD","51.588925","0.175641"
"59","CR0 8SS","51.376556","-0.0598"
"60","SE3 0DZ","51.467956","0.025409"
"61","RM11 2SE","51.587866","0.223043"
"62","BR2 8NA","51.378022","0.043897"
"63","N11 1NH","51.61742","-0.142412"
"64","NW7 2PT","51.615456","-0.241999"
"65","EN1 4SE","51.679794","-0.04889"
"66","EN5 1AB","51.646648","-0.188049"
"67","IG11 0AT","51.532516","0.104534"
"68","UB6 9BA","51.522084","-0.35447"
"69","SW18 1EW","51.461377","-0.188587"
"70","RM10 7UU","51.550536","0.161966"
"71","SM2 5BN","51.357755","-0.191472"
"72","CR0 3AB","51.390194","-0.132024"
"73","HA4 0SA","51.559421","-0.397454"
"74","CR5 3EE","51.293612","-0.154148"
"75","KT8 9AE","51.402293","-0.342757"
"76","SM7 1AZ","51.316828","-0.211278"
"77","DA8 3EX","51.473326","0.162763"
"78","SM1 2LR","51.361964","-0.2138"
"79","E1 2BX","51.517623","-0.055755"
"80","SW1V 2RE","51.492735","-0.136997"
"81","SE9 2PH","51.450204","0.081877"
"82","SE25 6DP","51.409559","-0.087119"
"83","KT12 1RZ","51.374761","-0.408422"
"84","UB6 8AA","51.531993","-0.308322"
"85","IG2 7HU","51.57329","0.084322"
"86","CR2 8JH","51.352904","-0.038122"
"87","TW14 0HW","51.458595","-0.402341"
"88","HA4 7TA","51.577916","-0.430633"
"89","TW5 9BA","51.477267","-0.394791"
"90","HA4 0QP","51.560807","-0.38119"
"91","DA1 1LA","51.43708","0.217382"
"92","UB9 4DA","51.552136","-0.487499"
"93","BR6 9DA","51.364389","0.11078"
"94","TW14 0PR","51.465544","-0.424168"
"95","TW5 9NB","51.486574","-0.396106"
"96","UB10 0PH","51.532062","-0.452034"
"97","TW16 5AD","51.418515","-0.411534"
"98","WD3 8DS","51.634007","-0.490138"
"99","BR7 6HB","51.417357","0.09074"
"100","TW5 0TA","51.479488","-0.364169"
"101","BR6 8NL","51.366703","0.054512"
"102","HA7 3DZ","51.620791","-0.316434"
"103","CR0 3RU","51.379167","-0.111177"
"104","RM7 0QA","51.565909","0.178294"
"105","DA14 5BL","51.414804","0.123197"
"106","DA14 5JA","51.409654","0.144284"
"107","DA16 3RW","51.466322","0.085303"
"108","KT16 8LA","51.389326","-0.490458"
"109","N19 3SH","51.564888","-0.132381"
"110","WD18 0FS","51.647661","-0.394244"
"111","E16 2BB","51.502529","0.026193"
"112","E2 9LH","51.528497","-0.056029"
"113","WC1X 9QX","51.53001","-0.111212"
"114","W14 8BA","51.497621","-0.206989"
"115","SW14 8LW","51.46695","-0.266976"
"116","SW6 2EL","51.478182","-0.189031"
"117","NW3 7BS","51.558265","-0.196397"
"118","W9 2HE","51.523288","-0.193109"
"119","SW20 0AB","51.417003","-0.251004"
"120","NW1 9HG","51.545372","-0.133276"
"121","SW19 2BN","51.418432","-0.178392"
"122","SW10 9UZ","51.482584","-0.185875"
"123","W3 6UP","51.523432","-0.25973"
"124","SW17 7BQ","51.439776","-0.155082"
"125","SW2 2QB","51.447858","-0.112589"
"126","E17 9AA","51.577414","-0.017168"
"127","SE13 7TG","51.46527","-0.018405"
"128","N6 4HX","51.580427","-0.153894"
"129","SE4 2SU","51.461909","-0.035668"
"130","E13 9JY","51.527484","0.031885"
"131","SE18 1JH","51.486972","0.093707"
"132","E12 5HH","51.562314","0.033885"
"133","SE9 1DH","51.451392","0.050698"
"134","SE12 0du","51.432246","0.020708"
"135","E10 7LN","51.567852","-0.031393"
"136","DA6 8BE","51.458052","0.135511"
"137","CR0 6AD","51.379242","-0.082563"
"138","CR0 8ER","51.371327","-0.024562"
"139","N14 4XA","51.648836","-0.129173"
"140","W7 3QJ","51.504446","-0.333823"
"141","N20 0LH","51.627914","-0.174492"
"142","N21 3RL","51.629809","-0.096767"
"143","CR7 6JH","51.397151","-0.116086"
"144","EN3 5UT","51.666479","-0.04255"
"145","TW2 5AW","51.442285","-0.35249"
"146","EN4 8QX","51.645941","-0.166844"
"147","HA0 1JQ","51.535935","-0.297939"
"148","IG1 1XR","51.5594","0.091679"
"149","IG3 8RU","51.564907","0.102566"
"150","IG4 5AQ","51.575793","0.046321"
"151","IG8 8PE","51.601187","0.044358"
"152","IG11 9PG","51.533414","0.10557"
"153","UB6 9RZ","51.531847","-0.367151"
"154","IG10 1QR","51.654577","0.06538"
"155","RM5 2BD","51.597968","0.153952"
"156","RM10 8AQ","51.539029","0.165156"
"157","RM1 3BT","51.582185","0.18704"
"158","RM13 8DP","51.520104","0.193971"
"159","BR3 3DG","51.388004","-0.024792"
"160","BR3 6PG","51.406429","-0.010381"
"161","BR2 0UJ","51.378476","0.035031"
"162","W4 5QJ","51.491752","-0.283523"
"163","E17 9DZ","51.579421","-0.005592"
"164","N15 6LS","51.576157","-0.07231"
"165","SE3 7HS","51.474135","0.018037"
"166","SE23 3PE","51.440782","-0.059784"
"167","N2 8AN","51.593902","-0.16855"
"168","E7 8AF","51.548201","0.040294"
"169","SE12 8BL","51.45189","0.0288"
"170","SW9 7AA","51.468395","-0.112965"
"171","NW10 7TS","51.541023","-0.253094"
"172","W3 9RH","51.508237","-0.280627"
"173","E16 2AB","51.504289","0.017971"
"174","EN1 1JD","51.642404","-0.061379"
"175","KT3 6HF","51.398737","-0.243664"
"176","KT6 7DQ","51.381727","-0.283346"
"177","CR0 8DN","51.376729","-0.032936"
